obdobje,produkt,kolicina,enota,cena_eur_em,znesek_eur_brez_ddv,kategorija
01.06.2013–30.06.2013,Trošarina,526.427,kWh,0.00153,0.80543,trosarina
01.06.2013–30.06.2013,Skupaj trošarina,,,,0.80543,skupaj
01.06.2013–30.06.2013,100% Jedrska energija,1.0,kos,0.0,0.0,poslovanje
01.06.2013–30.06.2013,Pavšalni strošek poslovanja,1.0,kos,1.63,1.63,poslovanje
01.06.2013–30.06.2013,Obračun storitev pogodbenega računa,,,,1.63,skupaj
01.06.2013–30.06.2013,Skupaj brez DDV,,,,44.45481,skupaj
01.06.2013–30.06.2013,DDV 22%,,,,9.78006,ddv
01.06.2013–30.06.2013,Skupaj z DDV,,,,54.23487,skupaj
01.06.2013–30.06.2013,Dobropis za oddano energijo,,,,-0.10371,dobropis
01.06.2013–30.06.2013,ZA PLAČILO,,,,54.13116,za_placilo
01.06.2013–30.06.2013,Paket 'DINAMIČNA Samooskrba' predpostavlja 15-min meritve; brez njih se uporabi nadomestna cena (ET).,,,,,opozorilo
01.06.2013–30.06.2013,"Paket 'DINAMIČNA Samooskrba' velja šele od 2026-01-01, obračunavaš pa 2013-06-01 — cene so ekstrapolirane nazaj.",,,,,opozorilo
01.07.2013–01.07.2013,BISOL Energija – DINAMIČNA Samooskrba,,,,,naslov
01.07.2013–01.07.2013,Električna energija – blok 4,0.604,kWh,0.045039,0.0272,energija
01.07.2013–01.07.2013,Skupaj električna energija,,,,0.0272,skupaj
01.07.2013–01.07.2013,Dogovorjena moč za časovni blok 2,3.0,kW,1.0923,3.2769,omreznina
01.07.2013–01.07.2013,Dogovorjena moč za časovni blok 3,3.0,kW,0.289033,0.8671,omreznina
01.07.2013–01.07.2013,Dogovorjena moč za časovni blok 4,3.0,kW,0.024367,0.0731,omreznina
01.07.2013–01.07.2013,Dogovorjena moč za časovni blok 5,3.0,kW,0.002433,0.0073,omreznina
01.07.2013–01.07.2013,Prevzeta EE za časovni blok 4,0.604,kWh,0.01805,0.0109,omreznina
01.07.2013–01.07.2013,Skupaj omrežnina za elektroenergetski sistem,,,,4.2353,skupaj
01.07.2013–01.07.2013,Prispevek za delovanje operaterja trga,0.604,kWh,0.00013,8e-05,prispevki
01.07.2013–01.07.2013,Prispevek za energetsko učinkovitost,0.604,kWh,0.0008,0.00048,prispevki
01.07.2013–01.07.2013,Prispevek za SPTE in OVE,3.0,kW,0.38781,1.16343,prispevki
01.07.2013–01.07.2013,Skupaj prispevki in ostale dajatve,,,,1.16399,skupaj
01.07.2013–01.07.2013,Trošarina,0.604,kWh,0.00153,0.00092,trosarina
01.07.2013–01.07.2013,Skupaj trošarina,,,,0.00092,skupaj
01.07.2013–01.07.2013,100% Jedrska energija,1.0,kos,0.0,0.0,poslovanje
01.07.2013–01.07.2013,Pavšalni strošek poslovanja,1.0,kos,1.63,1.63,poslovanje
01.07.2013–01.07.2013,Obračun storitev pogodbenega računa,,,,1.63,skupaj
01.07.2013–01.07.2013,Skupaj brez DDV,,,,7.05741,skupaj
01.07.2013–01.07.2013,DDV 22%,,,,1.55263,ddv
01.07.2013–01.07.2013,Skupaj z DDV,,,,8.61004,skupaj
01.07.2013–01.07.2013,ZA PLAČILO,,,,8.61004,za_placilo
01.07.2013–01.07.2013,Paket 'DINAMIČNA Samooskrba' predpostavlja 15-min meritve; brez njih se uporabi nadomestna cena (ET).,,,,,opozorilo
01.07.2013–01.07.2013,"Paket 'DINAMIČNA Samooskrba' velja šele od 2026-01-01, obračunavaš pa 2013-07-01 — cene so ekstrapolirane nazaj.",,,,,opozorilo
