user_id,cluster,dist_to_centroid,rank_in_cluster
user_138,0,0.5298185837020413,1
user_16,0,0.5959092561076771,2
user_151,0,0.6718296047117992,3
user_20,0,0.7195580649099679,4
user_298,0,0.8461719334160384,5
user_79,0,0.8836560839673185,6
user_300,0,1.121332549025731,7
user_58,0,1.4633323572539703,8
user_299,1,0.5276581330670287,1
user_193,1,0.6284398461218834,2
user_127,1,0.6404073601377197,3
user_202,1,0.6429739471538484,4
user_120,1,0.7802246823375106,5
user_132,1,0.7980629536760826,6
user_96,1,0.8094198673410551,7
user_83,1,0.8413210108574541,8
user_129,1,0.8514219106434382,9
user_80,1,0.8607663146687187,10
user_93,1,0.8883960773083154,11
user_143,1,0.8930537239815575,12
user_225,1,0.8948905423621432,13
user_176,1,0.9051165480198391,14
user_279,1,0.9314917785357197,15
user_220,1,0.9592496591299188,16
user_203,1,1.0115775414017532,17
user_149,1,1.3278287075617963,18
user_228,1,1.3910963766891125,19
user_91,1,1.4325583715224595,20
user_31,2,0.5529521851020586,1
user_65,2,0.6027544082613818,2
user_6,2,0.6036117050137123,3
user_274,2,0.6482834161545394,4
user_24,2,0.6890772530563187,5
user_7,2,0.6895083772802981,6
user_190,2,0.7159918015689862,7
user_45,2,0.7329937645397986,8
user_272,2,0.7633292015679984,9
user_77,2,0.7677745894468925,10
user_15,2,0.7919797696087629,11
user_100,2,0.8043382672852999,12
user_42,2,0.8277562553605214,13
user_74,2,0.8896199632678684,14
user_46,2,0.8971085158334007,15
user_134,2,0.937320807216326,16
user_150,2,0.9743143839364301,17
user_166,2,1.0894131448186763,18
user_48,2,1.140047015150834,19
user_293,2,1.289155871831505,20
user_175,2,1.4430521100611318,21
user_180,2,1.4747708589973663,22
user_287,3,0.866952283376466,1
user_99,3,0.8987217751407065,2
user_252,3,1.124257773418858,3
user_76,3,1.2266510877272307,4
user_130,3,1.2645834240055216,5
user_156,3,1.420567258664838,6
user_112,3,1.5597534005771394,7
user_75,3,1.580029821835795,8
user_62,3,1.9249110306671522,9
user_195,4,0.4292060824577744,1
user_168,4,0.496988067767504,2
user_230,4,0.5018847807006045,3
user_243,4,0.5808190337050024,4
user_257,4,0.6254066948518914,5
user_154,4,0.669432396815955,6
user_222,4,0.6851241075078341,7
user_49,4,0.731263482727911,8
user_244,4,0.7374046895243681,9
user_157,4,0.7647331080030471,10
user_34,4,0.8483193953881076,11
user_72,4,0.9677054645829745,12
user_233,4,1.0315124795240578,13
user_191,4,1.0986549944530593,14
user_90,4,1.1246137466336237,15
user_164,4,1.1833991579100052,16
user_66,5,0.4161165219130999,1
user_18,5,0.5412492276842339,2
user_163,5,0.5692688728420056,3
user_184,5,0.5855061467458426,4
user_245,5,0.6026065050436987,5
user_210,5,0.6144794706558259,6
user_41,5,0.6168997998010669,7
user_283,5,0.6210558639032209,8
user_64,5,0.637120145272629,9
user_97,5,0.6449913431983783,10
user_110,5,0.6563275992305263,11
user_169,5,0.6566974898138191,12
user_105,5,0.6695221280444995,13
user_5,5,0.6785337657356832,14
user_108,5,0.6786345848483953,15
user_119,5,0.6805912149925324,16
user_288,5,0.7013054294375612,17
user_32,5,0.7085803298569049,18
user_71,5,0.7225862584527151,19
user_140,5,0.7430075905958066,20
user_265,5,0.7482185184006462,21
user_221,5,0.7580717331961804,22
user_29,5,0.7640231060112674,23
user_189,5,0.7676415146094742,24
user_212,5,0.7743399952282907,25
user_47,5,0.7952384381006696,26
user_275,5,0.8026841536611357,27
user_218,5,0.8084406451214825,28
user_13,5,0.8203129591051539,29
user_273,5,0.8243224853506631,30
user_95,5,0.8363871197157133,31
user_11,5,0.8442201402911026,32
user_133,5,0.8465783819589299,33
user_117,5,0.8668894647699573,34
user_155,5,0.8923265526343127,35
user_146,5,0.8981602937128207,36
user_197,5,0.9040669006973319,37
user_181,5,0.9072667926639343,38
user_142,5,0.9264252747974937,39
user_8,5,0.9287616914737167,40
user_188,5,0.9448564163908371,41
user_194,5,0.9688091757386221,42
user_208,5,0.9725009486289449,43
user_162,5,0.9890314860765774,44
user_33,5,0.9924081152303902,45
user_30,5,1.033362966942697,46
user_39,5,1.131019629678194,47
user_260,5,1.1554486889385245,48
user_38,5,1.1969596317744275,49
user_126,5,1.2365268147614477,50
user_165,5,1.2500750509578915,51
user_296,5,1.4193169181121523,52
user_266,5,1.734595299569911,53
user_21,6,0.5403339228255817,1
user_44,6,0.5831334117900909,2
user_226,6,0.6032397293653874,3
user_160,6,0.6340574658361521,4
user_229,6,0.6357692762753985,5
user_109,6,0.6484468314626006,6
user_35,6,0.6871584234310886,7
user_103,6,0.7200961388160605,8
user_232,6,0.7789105144385278,9
user_61,6,0.8119853435622232,10
user_294,6,0.8357662241287367,11
user_170,6,0.8961885807154294,12
user_87,6,0.953907969673723,13
user_148,6,1.2019282011355041,14
user_26,7,0.8357272073654534,1
user_1,7,1.0982651014328262,2
user_68,7,1.1124607589305056,3
user_145,7,1.1642586880581018,4
user_213,8,0.5549708054353317,1
user_116,8,0.6004772521130264,2
user_78,8,0.7053213024508188,3
user_211,8,0.7228273009414115,4
user_131,8,0.7839251532050515,5
user_242,8,0.8130122485566104,6
user_247,8,0.894835944532977,7
user_219,8,1.0028722519344944,8
user_254,8,1.139730830774556,9
user_255,8,1.2548237793659751,10
user_206,8,1.4617005360351747,11
user_280,9,0.69588133105739,1
user_86,9,0.7057461015394576,2
user_82,9,0.7154455804139263,3
user_214,9,0.7298947826439646,4
user_249,9,0.9154585600890031,5
user_161,9,0.9813680769018238,6
user_57,9,0.991453816964259,7
