algorithm,seed,reward_mean,reward_7day,reward_mean_eval_checkpoints,reward_std_eval_checkpoints,reward_std,price_mean,price_7day,price_mean_eval_checkpoints,price_std_eval_checkpoints,price_std,price_mean_eur_per_day,total_timesteps,n_eval_episodes,final_eval_steps,final_eval_data_length_steps,final_eval_days,seven_day_steps,seven_day_truncated,final_eval_source,final_eval_semantics,episode_length_steps,episode_days,korakov_na_dan,reset_mode,observation_mode,model_path
IQN,0,-17.109145079393876,-0.7239458398001984,-17.10320159639388,0.0,0.0,54.13954736273421,1.7069097960342121,54.12052821713421,0.0,0.0,0.29638438337263256,10000,10,17535,17536,182.66666666666666,672,False,test_env,deterministic full-horizon rollout cumulative totals,17535,182.65625,96,deterministic,compact,BTR/models/IQN_seed0.pt
IQN,1,-16.57643776716355,-0.1912385275698675,-16.6944638988708,0.12396961470724754,0.12396961470724754,53.65431774625001,1.2216801795500016,53.72714292205001,0.09184432139998933,0.09184432139998933,0.2937280168590329,10000,10,17535,17536,182.66666666666666,672,False,test_env,deterministic full-horizon rollout cumulative totals,17535,182.65625,96,deterministic,compact,BTR/models/IQN_seed1.pt
IQN,2,-16.140341368806546,0.2448578707871263,-16.61879974110021,0.4844018552936671,0.4844018552936671,53.42813637339999,0.9954988067000005,53.7648227224671,0.3557054946671059,0.3557054946671059,0.2924897976645985,10000,10,17535,17536,182.66666666666666,672,False,test_env,deterministic full-horizon rollout cumulative totals,17535,182.65625,96,deterministic,compact,BTR/models/IQN_seed2.pt
C51,0,-17.547441804184643,-1.1622425645909598,-17.32234995878926,0.21914836239538005,0.21914836239538005,54.12148054485001,1.6888429781500012,54.111494808192106,0.009033408942098475,0.009033408942098475,0.2962854774353103,10000,10,17535,17536,182.66666666666666,672,False,test_env,deterministic full-horizon rollout cumulative totals,17535,182.65625,96,deterministic,compact,BTR/models/C51_seed0.pt
C51,1,-16.57643776716355,-0.1912385275698675,-16.57049428416355,0.0,0.0,53.65431774625001,1.2216801795500016,53.63529860065002,0.0,0.0,0.2937280168590329,10000,10,17535,17536,182.66666666666666,672,False,test_env,deterministic full-horizon rollout cumulative totals,17535,182.65625,96,deterministic,compact,BTR/models/C51_seed1.pt
C51,2,-14.839880046941516,1.5453191926522092,-15.484167224874032,0.6502306609325155,0.6502306609325155,53.495164569449976,1.0625270027500007,53.44263132582499,0.03351409802499461,0.03351409802499461,0.29285674034370424,10000,10,17535,17536,182.66666666666666,672,False,test_env,deterministic full-horizon rollout cumulative totals,17535,182.65625,96,deterministic,compact,BTR/models/C51_seed2.pt
