,Custom DQN,SARSA,SB3 DQN,SB3 PPO,SB3 A2C,SB3 QR_DQN,SB3 MASKABLE_PPO,SB3 RECURRENT_PPO,BTR C51,BTR IQN
2012-06-30 16:30:00+00:00,49.87894736842105,35.0,49.87894736842106,50.0,65.0,49.87894736842106,50.0,50.0,49.87894736842106,49.87894736842106
2012-06-30 17:00:00+00:00,49.80526315789474,50.0,49.80526315789474,50.0,80.0,49.80526315789474,50.0,50.0,49.80526315789474,49.80526315789474
2012-06-30 17:30:00+00:00,49.410526315789475,35.0,49.80526315789474,50.0,95.0,49.41052631578947,50.0,50.0,49.41052631578947,49.41052631578947
2012-06-30 18:00:00+00:00,49.33684210526316,35.0,49.80526315789474,50.0,100.0,49.33684210526316,50.0,50.0,49.33684210526316,49.33684210526316
2012-06-30 18:30:00+00:00,49.15263157894737,35.0,49.80526315789474,50.0,100.0,49.15263157894737,50.0,50.0,49.15263157894737,49.15263157894737
2012-06-30 19:00:00+00:00,48.8421052631579,34.689473684210526,49.80526315789474,50.0,100.0,48.8421052631579,50.0,50.0,48.8421052631579,48.8421052631579
2012-06-30 19:30:00+00:00,48.76842105263158,34.689473684210526,49.80526315789474,50.0,100.0,48.76842105263158,50.0,50.0,48.76842105263158,48.76842105263158
2012-06-30 20:00:00+00:00,48.521052631578954,34.689473684210526,49.80526315789474,50.0,100.0,48.521052631578954,50.0,50.0,48.521052631578954,48.521052631578954
2012-06-30 20:30:00+00:00,48.32105263157896,34.48947368421052,49.80526315789474,50.0,100.0,48.32105263157896,50.0,50.0,48.32105263157896,48.32105263157896
2012-06-30 21:00:00+00:00,48.24736842105264,34.415789473684214,49.80526315789474,50.0,100.0,48.24736842105264,50.0,50.0,48.24736842105264,48.24736842105264
2012-06-30 21:30:00+00:00,47.92105263157896,34.089473684210525,49.80526315789474,50.0,100.0,47.92105263157896,50.0,50.0,47.92105263157896,47.92105263157896
2012-06-30 22:00:00+00:00,47.84736842105264,34.015789473684215,49.80526315789474,50.0,100.0,47.84736842105264,50.0,50.0,47.84736842105264,47.84736842105264
2012-06-30 22:30:00+00:00,47.61578947368422,33.78421052631579,49.80526315789474,50.0,100.0,47.615789473684224,50.0,50.0,47.615789473684224,47.615789473684224
2012-06-30 23:00:00+00:00,47.47368421052632,33.642105263157895,49.80526315789474,50.0,100.0,47.47368421052632,50.0,50.0,47.47368421052632,47.47368421052632
2012-06-30 23:30:00+00:00,47.35263157894738,33.52105263157895,34.80526315789474,50.0,100.0,47.35263157894738,50.0,50.0,47.35263157894738,47.35263157894738
2012-07-01 00:00:00+00:00,47.11578947368422,33.28421052631579,34.80526315789474,50.0,100.0,47.115789473684224,50.0,50.0,47.115789473684224,47.115789473684224
2012-07-01 00:30:00+00:00,47.04210526315791,48.284210526315796,34.731578947368426,50.0,100.0,47.04210526315791,50.0,50.0,47.04210526315791,47.04210526315791
2012-07-01 01:00:00+00:00,46.76842105263159,48.284210526315796,19.731578947368426,50.0,100.0,46.76842105263159,50.0,50.0,46.76842105263159,46.76842105263159
2012-07-01 01:30:00+00:00,46.69473684210527,48.284210526315796,19.731578947368426,50.0,100.0,46.69473684210527,50.0,50.0,46.69473684210527,46.69473684210527
2012-07-01 02:00:00+00:00,46.42105263157895,48.284210526315796,4.731578947368429,50.0,100.0,46.42105263157895,50.0,50.0,46.42105263157895,46.42105263157895
2012-07-01 02:30:00+00:00,46.34736842105264,48.284210526315796,5.551115123125783e-16,50.0,100.0,46.347368421052636,50.0,50.0,46.347368421052636,46.347368421052636
2012-07-01 03:00:00+00:00,46.07894736842106,48.284210526315796,6.162975822039155e-32,50.0,100.0,46.07894736842106,50.0,50.0,46.07894736842106,46.07894736842106
2012-07-01 03:30:00+00:00,46.00526315789475,48.284210526315796,6.162975822039155e-32,50.0,100.0,46.005263157894746,50.0,50.0,46.005263157894746,46.005263157894746
2012-07-01 04:00:00+00:00,45.79473684210528,48.284210526315796,6.162975822039155e-32,50.0,100.0,45.79473684210528,50.0,50.0,45.79473684210528,45.79473684210528
2012-07-01 04:30:00+00:00,45.684210526315795,48.284210526315796,6.162975822039155e-32,50.0,100.0,45.6842105263158,50.0,50.0,45.6842105263158,45.6842105263158
2012-07-01 05:00:00+00:00,45.51578947368422,48.284210526315796,6.162975822039155e-32,50.0,100.0,45.51578947368422,50.0,50.0,45.51578947368422,45.51578947368422
2012-07-01 05:30:00+00:00,45.35789473684211,48.284210526315796,6.162975822039155e-32,50.0,100.0,45.35789473684211,50.0,50.0,45.35789473684211,45.35789473684211
2012-07-01 06:00:00+00:00,45.22631578947369,33.284210526315796,6.162975822039155e-32,50.0,100.0,45.22631578947369,50.0,50.0,45.22631578947369,45.22631578947369
2012-07-01 06:30:00+00:00,45.04210526315789,18.284210526315796,6.162975822039155e-32,50.0,100.0,45.04210526315789,50.0,50.0,45.04210526315789,45.04210526315789
2012-07-01 07:00:00+00:00,44.9421052631579,18.284210526315796,6.162975822039155e-32,50.0,100.0,44.9421052631579,50.0,50.0,44.9421052631579,44.9421052631579
2012-07-01 07:30:00+00:00,44.71578947368421,18.284210526315796,6.162975822039155e-32,50.0,100.0,44.71578947368421,50.0,50.0,44.71578947368421,44.71578947368421
2012-07-01 08:00:00+00:00,44.642105263157895,33.284210526315796,6.842277657836021e-48,50.0,100.0,44.642105263157895,50.0,50.0,44.642105263157895,44.642105263157895
2012-07-01 08:30:00+00:00,44.40526315789474,33.284210526315796,7.596454196607839e-64,50.0,100.0,44.40526315789474,50.0,50.0,44.40526315789474,44.40526315789474
2012-07-01 09:00:00+00:00,44.40526315789474,33.455210526315796,8.433758354584419e-80,50.171,100.0,44.40526315789474,50.171,50.171,44.40526315789474,44.40526315789474
2012-07-01 09:30:00+00:00,44.40526315789474,33.455210526315796,8.433758354584419e-80,50.456,100.0,44.40526315789474,50.456,50.456,44.40526315789474,44.40526315789474
2012-07-01 10:00:00+00:00,44.40526315789474,33.455210526315796,8.433758354584419e-80,50.456,100.0,44.40526315789474,51.1305,51.1305,44.40526315789474,44.40526315789474
2012-07-01 10:30:00+00:00,44.40526315789474,33.455210526315796,8.433758354584419e-80,50.456,100.0,44.40526315789474,51.91425000000001,51.91425000000001,44.40526315789474,44.40526315789474
2012-07-01 11:00:00+00:00,44.40526315789474,48.455210526315796,9.363352709384397e-96,50.456,100.0,44.40526315789474,53.00675000000001,53.00675000000001,44.40526315789474,44.40526315789474
2012-07-01 11:30:00+00:00,44.40526315789474,63.455210526315796,9.363352709384397e-96,50.456,100.0,44.40526315789474,54.27025000000001,54.27025000000001,44.40526315789474,44.40526315789474
2012-07-01 12:00:00+00:00,44.40526315789474,78.4552105263158,1.03954097656449e-111,50.456,100.0,44.40526315789474,56.31275000000001,56.31275000000001,44.40526315789474,44.40526315789474
2012-07-01 12:30:00+00:00,44.40526315789474,93.45521052631578,1.03954097656449e-111,50.456,100.0,44.40526315789474,58.02275000000001,58.02275000000001,44.40526315789474,44.40526315789474
2012-07-01 13:00:00+00:00,44.40526315789474,100.0,1.154122327223217e-127,50.456,100.0,44.40526315789474,58.02275000000001,58.52150000000002,44.40526315789474,44.40526315789474
2012-07-01 13:30:00+00:00,44.40526315789474,100.0,1.154122327223217e-127,51.83825000000001,100.0,44.40526315789474,58.02275000000001,59.903750000000024,44.40526315789474,44.40526315789474
2012-07-01 14:00:00+00:00,44.40526315789474,100.0,1.154122327223217e-127,53.97100000000001,100.0,44.40526315789474,58.02275000000001,62.036500000000025,44.40526315789474,44.40526315789474
2012-07-01 14:30:00+00:00,44.40526315789474,100.0,1.154122327223217e-127,53.97100000000001,100.0,44.40526315789474,58.02275000000001,63.76075000000002,44.40526315789474,44.40526315789474
2012-07-01 15:00:00+00:00,44.40526315789474,100.0,1.154122327223217e-127,53.97100000000001,100.0,44.40526315789474,58.02275000000001,65.22850000000003,44.40526315789474,44.40526315789474
2012-07-01 15:30:00+00:00,44.40526315789474,100.0,1.154122327223217e-127,53.97100000000001,100.0,44.40526315789474,58.02275000000001,66.33050000000001,44.40526315789474,44.40526315789474
2012-07-01 16:00:00+00:00,44.40526315789474,100.0,1.154122327223217e-127,53.97100000000001,100.0,44.40526315789474,58.02275000000001,66.83875000000002,44.40526315789474,44.40526315789474
2012-07-01 16:30:00+00:00,44.40526315789474,100.0,1.154122327223217e-127,53.97100000000001,100.0,44.40526315789474,58.02275000000001,66.891,44.40526315789474,44.40526315789474
2012-07-01 17:00:00+00:00,44.11052631578948,100.0,1.154122327223217e-127,53.97100000000001,100.0,44.11052631578948,58.02275000000001,66.891,44.11052631578948,44.11052631578948
2012-07-01 17:30:00+00:00,44.03684210526317,100.0,1.154122327223217e-127,53.97100000000001,100.0,44.03684210526316,58.02275000000001,66.891,44.03684210526316,44.03684210526316
2012-07-01 18:00:00+00:00,44.03684210526317,100.0,1.154122327223217e-127,53.97100000000001,100.0,43.75789473684211,58.02275000000001,66.891,43.75789473684211,43.75789473684211
2012-07-01 18:30:00+00:00,44.03684210526317,100.0,1.154122327223217e-127,53.97100000000001,100.0,43.66315789473685,58.02275000000001,66.891,43.66315789473685,43.66315789473685
2012-07-01 19:00:00+00:00,43.842105263157904,100.0,1.154122327223217e-127,53.97100000000001,100.0,43.46842105263159,58.02275000000001,66.891,43.46842105263159,43.46842105263159
2012-07-01 19:30:00+00:00,43.67894736842106,100.0,1.154122327223217e-127,53.97100000000001,100.0,43.30526315789475,58.02275000000001,66.891,43.30526315789475,43.30526315789475
2012-07-01 20:00:00+00:00,43.53684210526317,99.8578947368421,1.154122327223217e-127,53.97100000000001,100.0,43.16315789473685,58.02275000000001,66.891,43.16315789473685,43.16315789473685
2012-07-01 20:30:00+00:00,43.33157894736843,99.65263157894738,1.154122327223217e-127,53.97100000000001,100.0,42.957894736842114,58.02275000000001,66.891,42.957894736842114,42.957894736842114
2012-07-01 21:00:00+00:00,43.25789473684212,99.57894736842105,1.2813331809171846e-143,53.97100000000001,100.0,42.8842105263158,58.02275000000001,66.891,42.8842105263158,42.8842105263158
2012-07-01 21:30:00+00:00,42.98947368421054,99.31052631578947,1.4225655996704496e-159,53.97100000000001,100.0,42.61578947368422,58.02275000000001,66.891,42.61578947368422,42.61578947368422
2012-07-01 22:00:00+00:00,42.91578947368423,99.23684210526315,1.579365082793826e-175,53.97100000000001,100.0,42.5421052631579,58.02275000000001,66.891,42.5421052631579,42.5421052631579
2012-07-01 22:30:00+00:00,42.64736842105265,98.96842105263156,1.7534474792067224e-191,53.97100000000001,100.0,42.273684210526326,58.02275000000001,66.891,42.273684210526326,42.273684210526326
2012-07-01 23:00:00+00:00,42.57368421052634,98.89473684210523,1.9467177638862437e-207,53.97100000000001,100.0,42.20000000000002,58.02275000000001,66.891,42.20000000000002,42.20000000000002
2012-07-01 23:30:00+00:00,42.3263157894737,98.64736842105262,2.1612908839133068e-223,53.97100000000001,100.0,41.95263157894738,58.02275000000001,66.891,41.95263157894738,41.95263157894738
2012-07-02 00:00:00+00:00,42.252631578947394,98.5736842105263,2.3995149022330095e-239,53.97100000000001,100.0,41.87894736842107,58.02275000000001,66.891,41.87894736842107,41.87894736842107
2012-07-02 00:30:00+00:00,42.00526315789476,98.32631578947365,2.6639966923902686e-255,53.97100000000001,100.0,41.631578947368446,58.02275000000001,66.891,41.631578947368446,41.631578947368446
2012-07-02 01:00:00+00:00,41.93157894736845,98.25263157894733,2.957630465416937e-271,53.97100000000001,100.0,41.55789473684213,58.02275000000001,66.891,41.55789473684213,41.55789473684213
