,Custom DQN,SARSA,No Battery Baseline,Random,SB3 DQN,SB3 PPO,SB3 A2C,SB3 QR_DQN,SB3 MASKABLE_PPO,SB3 RECURRENT_PPO,BTR C51,BTR IQN,MILP (Theoretical Optimum)
2020-02-01 05:00:00+00:00,0.012302604166666654,-0.15211398026315792,-0.12491875000000001,-0.062459375000000004,0.012302604166666654,-0.062459375000000004,-0.15211398026315792,0.012302604166666654,-0.15211398026315792,0.0,0.012302604166666654,0.012302604166666654,0.0187378170425
2020-02-01 05:15:00+00:00,0.028390624999999982,-0.2985498355263158,-0.23848125,-0.062459375000000004,0.028390624999999982,-0.119240625,-0.2985498355263158,0.028390624999999982,-0.2985498355263158,0.0,0.028390624999999982,0.028390624999999982,0.03766490264708333
2020-02-01 05:30:00+00:00,0.04826406249999997,-0.4393075657894737,-0.34068750000000003,-0.11356250000000001,0.04826406249999997,-0.17034375000000002,-0.4393075657894737,0.04826406249999997,-0.4393075657894737,0.0,0.04826406249999997,0.04826406249999997,0.06037740605395833
2020-02-01 05:45:00+00:00,0.04826406249999997,-0.5914215460526316,-0.46560625000000005,-0.26567648026315793,0.06056666666666662,-0.23280312500000003,-0.5914215460526316,0.06056666666666662,-0.5914215460526316,0.0,0.06056666666666662,0.06056666666666662,0.07551907688458333
2020-02-01 06:00:00+00:00,0.05468874641487126,-0.7485913347177071,-0.579029734375,-0.4228462689282334,0.08691286363766314,-0.2895148671875,-0.7485913347177071,0.003854924479166612,-0.7485913347177071,0.0064246839148712894,0.08691286363766314,0.08691286363766314,0.08194376079945462
2020-02-01 06:15:00+00:00,0.06035489258508599,-0.8990653858827826,-0.6790617437500001,-0.5733203200933089,0.03689685895016313,-0.33953087187500003,-0.8990653858827826,-0.04616108020833339,-0.8990653858827826,0.01209083008508602,0.11772288560865965,0.11772288560865965,0.09013103049728076
2020-02-01 06:30:00+00:00,0.06748416651708439,-1.028968691086583,-0.8049242921875001,-0.5511204778098124,-0.12649246174616235,-0.40246214609375003,-1.028968691086583,-0.1090923544270834,-1.028968691086583,0.019220104017084415,0.11583955520390733,0.11583955520390733,0.11570740041740868
2020-02-01 06:45:00+00:00,0.07127731523438319,-1.096488854367833,-0.93996461875,-0.6186406410910624,-0.28977327563689326,-0.469982309375,-1.096488854367833,-0.17661251770833342,-1.096488854367833,0.023013252734383212,0.04831939192265733,0.04831939192265733,0.11570740041740868
2020-02-01 07:00:00+00:00,0.01616484257813318,-1.151601327024083,-1.0501895640625,-0.6737531137473124,-0.39559771662061005,-0.52509478203125,-1.151601327024083,-0.1962220909104719,-1.151601327024083,-0.0013181608527996526,-0.00679308073359268,-0.00679308073359268,0.11570740041740868
2020-02-01 07:15:00+00:00,-0.029016973828116827,-1.196783143430333,-1.140553196875,-0.6867422494494508,-0.49149150135432684,-0.5702765984375,-1.196783143430333,-0.2414039073167219,-1.196783143430333,-0.03878421166532618,-0.051974897139842685,-0.051974897139842685,0.11570740041738511
