,Custom DQN,SARSA,No Battery Baseline,Random,SB3 DQN,SB3 PPO,SB3 A2C,SB3 QR_DQN,SB3 MASKABLE_PPO,SB3 RECURRENT_PPO,BTR C51,BTR IQN,MILP (Theoretical Optimum)
2012-06-30 16:30:00+00:00,0.16096000000000002,0.16103,0.16348000000000001,0.16103,0.16348000000000001,0.50051,0.16096000000000002,0.16096000000000002,0.50051,0.16103,0.16103,0.16348000000000001,-0.0067576938
2012-06-30 17:00:00+00:00,0.32191000000000003,0.32355,0.326,0.32198000000000004,0.326,1.00008,0.32191000000000003,0.32191000000000003,1.00008,0.32206,0.32206,0.326,-0.0610291396
2012-06-30 17:30:00+00:00,0.48286,0.49259000000000003,0.49504000000000004,0.48301000000000005,0.48695,1.16103,0.48286,0.48286,1.16103,0.48309,0.48309,0.49504000000000004,-0.11829332709999998
2012-06-30 18:00:00+00:00,0.6438600000000001,0.6536200000000001,0.65756,0.6439400000000001,0.64947,1.32196,0.6438600000000001,0.6438600000000001,1.66062,0.64412,0.64412,0.65756,-0.18361984069999998
2012-06-30 18:30:00+00:00,0.8086300000000001,0.8146500000000001,0.82233,0.80488,0.81424,1.4829,0.8086300000000001,0.8086300000000001,1.82156,0.80515,0.80515,0.82233,-0.18361984069999998
2012-06-30 19:00:00+00:00,0.97596,0.9756800000000001,0.98966,0.96589,0.9815699999999999,1.9872800000000002,1.31301,0.97596,2.32594,0.96618,0.96618,0.98966,-0.1818977546
2012-06-30 19:30:00+00:00,1.13848,1.13671,1.15218,1.1284100000000001,1.1440899999999998,2.48684,1.81257,1.13848,2.8255,1.1271300000000002,1.12721,1.15218,-0.18154078399999998
2012-06-30 20:00:00+00:00,1.30453,1.2977400000000001,1.31823,1.2944600000000002,1.3101399999999999,2.98993,2.3156600000000003,1.30453,3.10389,1.2880900000000002,1.28824,1.31823,-0.18034585129999997
2012-06-30 20:30:00+00:00,1.46962,1.4587700000000001,1.48332,1.4595500000000001,1.4752299999999998,3.4920600000000004,2.8177900000000005,1.46962,3.26898,1.44904,1.44927,1.48332,-0.17936057209999998
2012-06-30 21:00:00+00:00,1.63214,1.6198000000000001,1.64584,1.6220700000000001,1.6377499999999998,3.7669300000000003,3.3173600000000008,1.63214,3.4314999999999998,1.6100500000000002,1.6103,1.64584,-0.17899757449999998
2012-06-30 21:30:00+00:00,1.79979,1.7808300000000001,1.81349,1.7897200000000002,1.8054,3.9278900000000005,3.822040000000001,1.79979,3.59915,1.7777000000000003,1.77133,1.81349,-0.17752613779999998
2012-06-30 22:00:00+00:00,1.96231,1.9418600000000001,1.97601,1.9522400000000002,1.96792,4.08884,3.982990000000001,1.96231,3.7616699999999996,1.9402200000000003,1.93236,1.97601,-0.17714764219999998
2012-06-30 22:30:00+00:00,2.12804,2.1028900000000004,2.14174,2.11797,2.13365,4.24978,4.143930000000001,2.12804,3.9273999999999996,2.10595,2.0933900000000003,2.14174,-0.17581304299999997
2012-06-30 23:00:00+00:00,2.29195,2.2639200000000006,2.30565,2.28188,2.29756,4.75074,4.304880000000002,2.29195,4.09131,2.2698600000000004,2.2544200000000005,2.30565,-0.17507893595
2012-06-30 23:30:00+00:00,2.45543,2.424950000000001,2.46913,2.44536,2.4610399999999997,5.25128,4.465820000000002,2.45543,4.25479,2.4333400000000003,2.4154500000000008,2.46913,-0.1744035122
2012-07-01 00:00:00+00:00,2.61904,2.585980000000001,2.63274,2.6089700000000002,2.62465,5.4122200000000005,4.626760000000002,2.61904,4.4184,2.5969500000000005,2.576480000000001,2.63274,-0.17246720711432076
2012-07-01 00:30:00+00:00,2.78087,2.9285700000000014,2.79457,2.7708000000000004,2.78648,5.573150000000001,4.787690000000002,2.78087,4.579330000000001,2.7587800000000007,2.737510000000001,2.79457,-0.17246720711432076
2012-07-01 01:00:00+00:00,2.9448800000000004,3.0896000000000017,2.9585800000000004,2.9348100000000006,2.9504900000000003,5.734080000000001,4.951700000000002,2.9448800000000004,4.9240900000000005,2.922790000000001,2.8985400000000014,2.9585800000000004,-0.17075020091432075
2012-07-01 01:30:00+00:00,3.1067100000000005,3.250630000000002,3.1204100000000006,3.0966400000000007,3.1114300000000004,5.8950200000000015,5.113530000000003,3.1067100000000005,5.085920000000001,3.084620000000001,3.0595700000000017,3.1204100000000006,-0.17030299751432074
2012-07-01 02:00:00+00:00,3.2707200000000007,3.411660000000002,3.284420000000001,3.441390000000001,3.2754400000000006,6.055960000000002,5.458280000000003,3.2707200000000007,5.249930000000001,3.2486300000000012,3.220600000000002,3.284420000000001,-0.16863588011432074
2012-07-01 02:30:00+00:00,3.432550000000001,3.5726900000000024,3.446250000000001,3.602330000000001,3.4372700000000007,6.216930000000001,5.800850000000003,3.432550000000001,5.411760000000001,3.4104600000000014,3.381630000000002,3.446250000000001,-0.16822742171432073
2012-07-01 03:00:00+00:00,3.5965000000000007,3.7337200000000026,3.6102000000000007,3.766280000000001,3.6012200000000005,6.380880000000001,6.1455300000000035,3.5965000000000007,5.575710000000001,3.574410000000001,3.5426600000000024,3.6102000000000007,-0.16678557266432073
2012-07-01 03:30:00+00:00,3.758330000000001,3.894750000000003,3.772030000000001,3.928110000000001,3.7630500000000007,6.542710000000001,6.306480000000004,3.758330000000001,5.737540000000001,3.7362400000000013,3.7036900000000026,3.772030000000001,-0.16642472756432072
2012-07-01 04:00:00+00:00,3.9216500000000005,4.055780000000003,3.9353500000000006,4.091430000000001,3.9263700000000004,6.706030000000002,6.467450000000004,3.9216500000000005,5.898510000000001,3.899560000000001,3.864720000000003,3.9353500000000006,-0.16557799556432073
2012-07-01 04:30:00+00:00,4.083880000000001,4.216810000000003,4.097580000000001,4.434400000000001,4.0886000000000005,6.868260000000002,6.6284000000000045,4.083880000000001,6.241480000000001,4.061790000000001,4.025750000000003,4.097580000000001,-0.16497344441432074
