,Custom DQN,SARSA,No Battery Baseline,Random,SB3 DQN,SB3 PPO,SB3 A2C,SB3 QR_DQN,SB3 MASKABLE_PPO,SB3 RECURRENT_PPO,BTR C51,BTR IQN
2020-02-01 05:00:00+00:00,42.5,57.5,0.0,50.0,42.5,42.5,42.5,42.5,42.5,42.5,44.210526315789465,42.5
2020-02-01 05:15:00+00:00,35.0,65.0,0.0,44.736842105263165,35.0,35.0,35.0,35.0,35.0,35.0,38.94736842105263,35.0
2020-02-01 05:30:00+00:00,27.5,72.5,0.0,44.736842105263165,27.500000000000004,30.263157894736842,27.500000000000004,27.500000000000004,27.500000000000004,27.500000000000004,34.210526315789465,27.500000000000004
2020-02-01 05:45:00+00:00,20.0,80.0,0.0,52.23684210526316,20.0,22.763157894736842,20.0,20.0,20.0,20.0,28.42105263157894,20.0
2020-02-01 06:00:00+00:00,12.5,87.5,0.0,59.73684210526316,12.5,15.263157894736839,12.5,12.5,12.5,12.5,23.249999999999993,12.5
2020-02-01 06:15:00+00:00,5.000000000000002,95.0,0.0,67.23684210526315,5.000000000000001,7.763157894736842,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,18.689473684210515,5.000000000000001
2020-02-01 06:30:00+00:00,0.0,100.0,0.0,59.73684210526316,0.0,0.2631578947368429,0.0,0.0,0.0,0.0,12.951315789473675,0.0
2020-02-01 06:45:00+00:00,0.0,100.0,0.0,59.73684210526316,0.0,0.0,0.0,0.0,0.0,0.0,6.794736842105253,0.0
2020-02-01 07:00:00+00:00,0.0,100.0,0.0,59.73684210526316,0.0,0.0,0.0,0.0,0.0,0.0,1.361842105263148,0.0
2020-02-01 07:15:00+00:00,0.0,100.0,0.0,52.23684210526316,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-16,0.0
2020-02-01 07:30:00+00:00,0.0,100.0,0.0,44.736842105263165,0.0,0.0,0.0,0.0,0.0,0.0,3.0814879110195774e-32,0.0
2020-02-01 07:45:00+00:00,0.0,100.0,0.0,37.236842105263165,0.0,0.0,0.0,0.0,0.0,0.0,3.4211388289180104e-48,0.0
2020-02-01 08:00:00+00:00,0.0,100.0,0.0,29.73684210526316,0.0,0.0,0.0,0.0,0.0,0.0,3.7982270983039195e-64,0.0
2020-02-01 08:15:00+00:00,0.0,100.0,0.0,28.85,0.0,0.0,0.0,0.0,0.0,0.0,4.216879177292209e-80,0.0
2020-02-01 08:30:00+00:00,0.0,100.0,0.0,36.35,0.0,0.0,0.0,0.0,0.0,0.0,4.681676354692198e-96,0.0
2020-02-01 08:45:00+00:00,0.0,100.0,0.0,36.17763157894737,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 09:00:00+00:00,0.0,92.5,0.0,36.17763157894737,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 09:15:00+00:00,0.0,100.0,0.0,36.17763157894737,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 09:30:00+00:00,0.0,100.0,0.0,28.67763157894737,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 09:45:00+00:00,0.0,100.0,0.0,28.67763157894737,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 10:00:00+00:00,0.0,100.0,0.0,28.67763157894737,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 10:15:00+00:00,5.0243125,100.0,0.0,33.70194407894736,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 10:30:00+00:00,10.306312499999999,100.0,0.0,33.70194407894736,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 10:45:00+00:00,12.389187499999998,92.5,0.0,33.70194407894736,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 11:00:00+00:00,16.081124999999997,92.5,0.0,33.70194407894736,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 11:15:00+00:00,8.581125,92.5,0.0,26.201944078947367,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 11:30:00+00:00,13.3679375,100.0,0.0,26.201944078947367,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 11:45:00+00:00,19.0655625,100.0,0.0,31.899569078947366,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 12:00:00+00:00,11.5655625,100.0,0.0,24.39956907894737,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 12:15:00+00:00,17.117124999999998,100.0,0.0,24.39956907894737,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 12:30:00+00:00,22.497687499999998,100.0,0.0,31.899569078947366,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 12:45:00+00:00,28.170374999999996,100.0,0.0,37.572256578947375,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 13:00:00+00:00,33.054562499999996,100.0,0.0,37.572256578947375,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 13:15:00+00:00,25.554562499999996,100.0,0.0,42.02181907894737,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 13:30:00+00:00,18.054562499999996,100.0,0.0,42.02181907894737,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 13:45:00+00:00,10.554562499999998,100.0,0.0,49.52181907894737,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 14:00:00+00:00,13.652749999999997,100.0,0.0,49.52181907894737,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 14:15:00+00:00,15.645374999999996,92.5,0.0,51.51444407894736,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 14:30:00+00:00,16.851874999999996,85.0,0.0,52.72094407894737,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 14:45:00+00:00,9.351874999999996,85.0,0.0,52.72094407894737,0.0,0.0,0.0,0.0,0.0,0.0,5.19770488282245e-112,0.0
2020-02-01 15:00:00+00:00,1.8518749999999984,92.5,0.0,52.72094407894737,0.0,0.0,0.0,0.0,0.0,0.0,5.770611636116085e-128,0.0
2020-02-01 15:15:00+00:00,0.0,92.5,0.0,60.22094407894737,0.0,0.0,0.0,0.0,0.0,0.0,6.406665904585923e-144,0.0
2020-02-01 15:30:00+00:00,0.0,92.5,0.0,60.22094407894737,0.0,0.0,0.0,0.0,0.0,0.0,7.112827998352248e-160,0.0
2020-02-01 15:45:00+00:00,0.0,100.0,0.0,67.72094407894737,0.0,0.0,0.0,0.0,0.0,0.0,7.89682541396913e-176,0.0
2020-02-01 16:00:00+00:00,0.0,97.89473684210526,0.0,67.72094407894737,0.0,0.0,0.0,0.0,0.0,0.0,8.767237396033612e-192,0.0
2020-02-01 16:15:00+00:00,0.0,97.89473684210526,0.0,60.22094407894737,0.0,0.0,0.0,0.0,0.0,0.0,9.733588819431218e-208,0.0
2020-02-01 16:30:00+00:00,0.0,95.7894736842105,0.0,60.22094407894737,0.0,0.0,0.0,0.0,0.0,0.0,1.0806454419566534e-223,0.0
2020-02-01 16:45:00+00:00,0.0,88.2894736842105,0.0,58.115680921052636,0.0,0.0,0.0,0.0,0.0,0.0,1.1997574511165048e-239,0.0
2020-02-01 17:00:00+00:00,0.0,95.7894736842105,0.0,65.61568092105264,0.0,0.0,0.0,0.0,0.0,0.0,1.3319983461951343e-255,0.0
2020-02-01 17:15:00+00:00,0.0,95.7894736842105,0.0,65.61568092105264,0.0,0.0,0.0,0.0,0.0,0.0,1.4788152327084684e-271,0.0
2020-02-01 17:30:00+00:00,0.0,95.7894736842105,0.0,73.11568092105264,0.0,0.0,0.0,0.0,0.0,0.0,1.6418147205193505e-287,0.0
2020-02-01 17:45:00+00:00,0.0,95.7894736842105,0.0,65.61568092105264,0.0,0.0,0.0,0.0,0.0,0.0,1.8227805048890994e-303,0.0
2020-02-01 18:00:00+00:00,0.0,88.2894736842105,0.0,64.03673355263157,0.0,0.0,0.0,0.0,0.0,0.0,2.02567e-319,0.0
2020-02-01 18:15:00+00:00,0.0,88.2894736842105,0.0,61.93147039473685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01 18:30:00+00:00,0.0,88.2894736842105,0.0,54.43147039473685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01 18:45:00+00:00,0.0,86.18421052631577,0.0,46.93147039473685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01 19:00:00+00:00,0.0,78.68421052631577,0.0,54.43147039473685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01 19:15:00+00:00,0.0,86.18421052631577,0.0,46.93147039473685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01 19:30:00+00:00,0.0,93.68421052631577,0.0,54.43147039473685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01 19:45:00+00:00,0.0,100.0,0.0,61.93147039473685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01 20:00:00+00:00,0.0,100.0,0.0,57.720944078947376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01 20:15:00+00:00,0.0,100.0,0.0,50.220944078947376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01 20:30:00+00:00,0.0,100.0,0.0,44.95778618421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01 20:45:00+00:00,0.0,95.78947368421053,0.0,52.45778618421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01 21:00:00+00:00,0.0,95.78947368421053,0.0,44.95778618421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01 21:15:00+00:00,0.0,91.57894736842107,0.0,40.74725986842106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01 21:30:00+00:00,0.0,91.57894736842107,0.0,40.74725986842106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01 21:45:00+00:00,0.0,91.57894736842107,0.0,33.24725986842106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01 22:00:00+00:00,0.0,87.36842105263159,0.0,40.74725986842106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
