,Custom DQN,SARSA,SB3 DQN,SB3 PPO,SB3 A2C,SB3 QR_DQN,SB3 MASKABLE_PPO,SB3 RECURRENT_PPO,BTR C51,BTR IQN
2012-06-30 16:30:00+00:00,0.0,4.2132062500000003e-05,0.0,-0.0015341895625,-0.2121780646875,0.0,-0.0015341895625,-0.0015341895625,0.0,0.0
2012-06-30 17:00:00+00:00,0.0,-0.211545414625,0.0,-0.002468087375,-0.423765611375,0.0,-0.002468087375,-0.002468087375,0.0,0.0
2012-06-30 17:30:00+00:00,0.0,-0.21149245668750002,-0.0050031369374999995,-0.0074712243125,-0.639427145125,0.0,-0.0074712243125,-0.0074712243125,0.0,0.0
2012-06-30 18:00:00+00:00,0.0,-0.21242641012500002,-0.005937090375,-0.00840517775,-0.7105831603125,0.0,-0.00840517775,-0.00840517775,0.0,0.0
2012-06-30 18:30:00+00:00,0.0,-0.2147612835,-0.00827196375,-0.010740051125,-0.7129180336875001,0.0,-0.010740051125,-0.010740051125,0.0,0.0
2012-06-30 19:00:00+00:00,0.0,-0.2147612835,-0.01220775725,-0.014675844625,-0.7168538271875,0.0,-0.014675844625,-0.014675844625,0.0,0.0
2012-06-30 19:30:00+00:00,0.0,-0.21569516368750002,-0.0131416374375,-0.0156097248125,-0.717787707375,0.0,-0.0156097248125,-0.0156097248125,0.0,0.0
2012-06-30 20:00:00+00:00,0.0,-0.21883033037500002,-0.016276804125,-0.0187448915,-0.7209228740625,0.0,-0.0187448915,-0.0187448915,0.0,0.0
2012-06-30 20:30:00+00:00,0.0,-0.21883033037500002,-0.0188116334375,-0.0212797208125,-0.723457703375,0.0,-0.0212797208125,-0.0212797208125,0.0,0.0
2012-06-30 21:00:00+00:00,0.0,-0.21883033037500002,-0.0197455179375,-0.0222136053125,-0.724391587875,0.0,-0.0222136053125,-0.0222136053125,0.0,0.0
2012-06-30 21:30:00+00:00,0.0,-0.21883033037500002,-0.0238811948125,-0.0263492821875,-0.7285272647500001,0.0,-0.0263492821875,-0.0263492821875,0.0,0.0
2012-06-30 22:00:00+00:00,0.0,-0.21883033037500002,-0.024815090374999998,-0.02728317775,-0.7294611603125001,0.0,-0.02728317775,-0.02728317775,0.0,0.0
2012-06-30 22:30:00+00:00,0.0,-0.21883033037500002,-0.027750294437499996,-0.0302183818125,-0.7323963643750001,0.0,-0.0302183818125,-0.0302183818125,0.0,0.0
2012-06-30 23:00:00+00:00,0.0,-0.21883033037500002,-0.029551381687499996,-0.0320194690625,-0.7341974516250002,0.0,-0.0320194690625,-0.0320194690625,0.0,0.0
2012-06-30 23:30:00+00:00,0.0,-0.21883033037500002,-0.029497431437499996,-0.033553764375,-0.7357317469375002,0.0,-0.033553764375,-0.033553764375,0.0,0.0
2012-07-01 00:00:00+00:00,0.0,-0.21883033037500002,-0.031107210749999996,-0.0351635436875,-0.7373415262500002,0.0,-0.0351635436875,-0.0351635436875,0.0,0.0
2012-07-01 00:30:00+00:00,0.0,-0.33230510718750006,-0.031107210749999996,-0.03566439475,-0.7378423773125001,0.0,-0.03566439475,-0.03566439475,0.0,0.0
2012-07-01 01:00:00+00:00,0.0,-0.3341653345625001,-0.031047171437499996,-0.037524622125000004,-0.7397026046875002,0.0,-0.037524622125000004,-0.037524622125000004,0.0,0.0
2012-07-01 01:30:00+00:00,0.0,-0.33466615425000007,-0.031547991124999994,-0.038025441812500005,-0.7402034243750002,0.0,-0.038025441812500005,-0.038025441812500005,0.0,0.0
2012-07-01 02:00:00+00:00,0.0,-0.3365263460000001,-0.031489696312499996,-0.0398856335625,-0.7420636161250002,0.0,-0.0398856335625,-0.0398856335625,0.0,0.0
2012-07-01 02:30:00+00:00,0.0,-0.3370271380000001,-0.0314729166875,-0.0403864255625,-0.7425644081250001,0.0,-0.0403864255625,-0.0403864255625,0.0,0.0
2012-07-01 03:00:00+00:00,0.0,-0.3388514186875001,-0.033297197375,-0.04221070625,-0.7443886888125001,0.0,-0.04221070625,-0.04221070625,0.0,0.0
2012-07-01 03:30:00+00:00,0.0,-0.3393521766250001,-0.033797955312499996,-0.0427114641875,-0.7448894467500001,0.0,-0.0427114641875,-0.0427114641875,0.0,0.0
2012-07-01 04:00:00+00:00,0.0,-0.3407827819375001,-0.035228560624999995,-0.0441420695,-0.7463200520625002,0.0,-0.0441420695,-0.0441420695,0.0,0.0
2012-07-01 04:30:00+00:00,0.0,-0.3415339641250001,-0.03597974281249999,-0.044893251687499997,-0.7470712342500002,0.0,-0.044893251687499997,-0.044893251687499997,0.0,0.0
2012-07-01 05:00:00+00:00,0.0,-0.3472766682500001,-0.04172244693749999,-0.050635955812499994,-0.7528139383750002,0.0,-0.050635955812499994,-0.050635955812499994,0.0,0.0
2012-07-01 05:30:00+00:00,0.0,-0.3526604873750001,-0.04710626606249999,-0.056019774937499996,-0.7581977575000002,0.0,-0.056019774937499996,-0.056019774937499996,0.0,0.0
2012-07-01 06:00:00+00:00,0.0,-0.35260239781250013,-0.05159276906249999,-0.06050627793749999,-0.7626842605000002,0.0,-0.06050627793749999,-0.06050627793749999,0.0,0.0
2012-07-01 06:30:00+00:00,0.0,-0.3525454026250001,-0.05787386106249999,-0.0667873699375,-0.7689653525000002,0.0,-0.0667873699375,-0.0667873699375,0.0,0.0
2012-07-01 07:00:00+00:00,0.0,-0.3559551532500001,-0.06128361168749999,-0.07019712056249999,-0.7723751031250002,0.0,-0.07019712056249999,-0.07019712056249999,0.0,0.0
2012-07-01 07:30:00+00:00,0.0,-0.3636719581875001,-0.06900041662499999,-0.0779139255,-0.7800919080625003,0.0,-0.0779139255,-0.0779139255,0.0,0.0
2012-07-01 08:00:00+00:00,0.0,-0.9329055710625,-0.07151288037499999,-0.08042638925,-0.7826043718125003,0.0,-0.08042638925,-0.08042638925,0.0,0.0
2012-07-01 08:30:00+00:00,0.0,-0.9409813506250001,-0.07958865993749999,-0.08850216881249999,-0.7906801513750004,0.0,-0.08850216881249999,-0.08850216881249999,0.0,0.0
2012-07-01 09:00:00+00:00,8.455625e-07,-0.9409813506250001,-0.07958781437499998,-0.08850216881249999,-0.7906793058125003,8.455625e-07,-0.08850216881249999,-0.08850216881249999,8.455625e-07,8.455625e-07
2012-07-01 09:30:00+00:00,2.296125e-06,-0.9409799000625001,-0.07958636381249998,-0.08850216881249999,-0.7906778552500003,2.296125e-06,-0.08850216881249999,-0.08850216881249999,2.296125e-06,2.296125e-06
2012-07-01 10:00:00+00:00,5.7239375e-06,-0.9409764722500001,-0.07958293599999998,-0.08849874099999999,-0.7906744274375004,5.7239375e-06,-0.08850216881249999,-0.08850216881249999,5.7239375e-06,5.7239375e-06
2012-07-01 10:30:00+00:00,9.724124999999999e-06,-0.9409724720625001,-0.07957893581249997,-0.08849474081249999,-0.7906704272500004,9.724124999999999e-06,-0.08850216881249999,-0.08850216881249999,9.724124999999999e-06,9.724124999999999e-06
2012-07-01 11:00:00+00:00,1.49839375e-05,-1.1363001053125001,-0.07957367599999997,-0.08848948099999998,-0.7906651674375004,1.49839375e-05,-0.08850216881249999,-0.08850216881249999,1.49839375e-05,1.49839375e-05
2012-07-01 11:30:00+00:00,2.1220125e-05,-1.32922791375,-0.07956743981249997,-0.08848324481249999,-0.7906589312500004,2.1220125e-05,-0.08850216881249999,-0.08850216881249999,2.1220125e-05,2.1220125e-05
2012-07-01 12:00:00+00:00,3.13595625e-05,-1.5112151505625,-0.07955730037499997,-0.08847310537499999,-0.7906487918125005,3.13595625e-05,-0.08850216881249999,-0.08850216881249999,3.13595625e-05,3.13595625e-05
2012-07-01 12:30:00+00:00,3.9701687499999995e-05,-1.6978710734375,-0.07954895824999997,-0.08846476324999998,-0.7906404496875005,3.9701687499999995e-05,-0.08850216881249999,-0.08850216881249999,3.9701687499999995e-05,3.9701687499999995e-05
2012-07-01 13:00:00+00:00,4.2164187499999994e-05,-1.782787121875,-0.07954649574999997,-0.08846230074999999,-0.7906379871875004,4.2164187499999994e-05,-0.0884997063125,-0.08850216881249999,4.2164187499999994e-05,4.2164187499999994e-05
2012-07-01 13:30:00+00:00,4.895274999999999e-05,-1.7827803333125,-0.07953970718749998,-0.08846230074999999,-0.7906311986250004,4.895274999999999e-05,-0.08849291775,-0.08850216881249999,4.895274999999999e-05,4.895274999999999e-05
