,Custom DQN,SARSA,No Battery Baseline,Random,SB3 DQN,SB3 PPO,SB3 A2C,SB3 QR_DQN,SB3 MASKABLE_PPO,SB3 RECURRENT_PPO,BTR C51,BTR IQN
2020-02-01 05:00:00+00:00,0.0,0.4867647368421053,0.19987000000000002,0.0,-0.0393683333333333,-0.0393683333333333,-0.0393683333333333,-0.0393683333333333,-0.0393683333333333,-0.0393683333333333,0.0,0.0
2020-02-01 05:15:00+00:00,0.0,0.9553594736842106,0.38157,0.4685947368421053,-0.09084999999999994,-0.09084999999999994,-0.09084999999999994,-0.09084999999999994,-0.09084999999999994,-0.09084999999999994,0.0,0.0
2020-02-01 05:30:00+00:00,0.0,1.4057842105263159,0.5451,0.40499973684210533,-0.15444499999999992,-0.09084999999999994,-0.15444499999999992,-0.15444499999999992,-0.15444499999999992,-0.15444499999999992,0.0,0.0
2020-02-01 05:45:00+00:00,-0.0393683333333333,1.8925489473684212,0.74497,0.36563140350877205,-0.19381333333333323,-0.13021833333333324,-0.19381333333333323,-0.19381333333333323,-0.19381333333333323,-0.19381333333333323,0.0,0.0
2020-02-01 06:00:00+00:00,-0.09385778333333328,2.365673890789474,0.9264475750000001,0.547108978508772,-0.2483027833333332,-0.1847077833333332,-0.2483027833333332,-0.2483027833333332,-0.2483027833333332,-0.2483027833333332,0.0,0.0
2020-02-01 06:15:00+00:00,-0.16263147333333325,2.8173724742105266,1.08649879,0.47833528850877205,-0.31707647333333316,-0.25348147333333315,-0.31707647333333316,-0.31707647333333316,-0.31707647333333316,-0.31707647333333316,0.0,0.0
2020-02-01 06:30:00+00:00,-0.2038525883333332,3.213184130657895,1.2878788675000001,0.47833528850877205,-0.29117089583333317,-0.2947025883333331,-0.29117089583333317,-0.29117089583333317,-0.29117089583333317,-0.29117089583333317,0.0,0.0
2020-02-01 06:45:00+00:00,-0.13555606583333304,3.429248653157895,1.50394339,0.6943998110087721,-0.07510637333333314,-0.08787356583333314,-0.07510637333333314,-0.07510637333333314,-0.07510637333333314,-0.07510637333333314,0.0,0.0
2020-02-01 07:00:00+00:00,0.040803846666666976,3.6056085656578953,1.6803033025,0.6496655860087721,0.10125353916666688,0.08848634666666688,0.10125353916666688,0.10125353916666688,0.10125353916666688,0.10125353916666688,0.0,0.0
2020-02-01 07:15:00+00:00,0.185385659166667,3.750190378157895,1.824885115,0.6496655860087721,0.2458353516666669,0.2330681591666669,0.2458353516666669,0.2458353516666669,0.2458353516666669,0.2458353516666669,0.10037437500000036,0.10037437500000036
2020-02-01 07:30:00+00:00,0.276704984166667,3.8415097031578953,1.91620444,0.7409849110087721,0.3371546766666669,0.3243874841666669,0.3371546766666669,0.3371546766666669,0.3371546766666669,0.3371546766666669,0.19169370000000036,0.19169370000000036
2020-02-01 07:45:00+00:00,0.364393746666667,3.9291984656578953,2.0038932025,0.8286736735087721,0.4248434391666669,0.4120762466666669,0.4248434391666669,0.4248434391666669,0.4248434391666669,0.4248434391666669,0.2793824625000004,0.2793824625000004
2020-02-01 08:00:00+00:00,0.428746364166667,3.9935510831578953,2.06824582,0.7151199185087721,0.4891960566666669,0.47642886416666697,0.4891960566666669,0.4891960566666669,0.4891960566666669,0.4891960566666669,0.3437350800000004,0.3437350800000004
2020-02-01 08:15:00+00:00,0.456496629166667,4.021301348157896,2.095996085,0.7428701835087721,0.5169463216666669,0.504179129166667,0.5169463216666669,0.5169463216666669,0.5169463216666669,0.5169463216666669,0.3714853450000004,0.3714853450000004
2020-02-01 08:30:00+00:00,0.48045902416666697,4.0452637431578955,2.1199584799999998,1.0268694206140352,0.5409087166666668,0.5281415241666669,0.5409087166666668,0.5409087166666668,0.5409087166666668,0.5409087166666668,0.3954477400000004,0.3954477400000004
