"Timestamp_UTC","Energy_Consumption","Energy_Generation","SMP"
"2010-07-01 00:30:00+00:00","0.339","0.0","0.0180564"
"2010-07-01 01:00:00+00:00","0.363","0.0","0.0179949"
"2010-07-01 01:30:00+00:00","0.3","0.0","0.0200613"
"2010-07-01 02:00:00+00:00","0.263","0.0","0.01961235"
"2010-07-01 02:30:00+00:00","0.363","0.0","0.0177612"
"2010-07-01 03:00:00+00:00","0.213","0.0","0.01658655"
"2010-07-01 03:30:00+00:00","0.263","0.0","0.01390515"
"2010-07-01 04:00:00+00:00","0.263","0.0","0.01396665"
"2010-07-01 04:30:00+00:00","0.314","0.0","0.01549185"
"2010-07-01 05:00:00+00:00","0.288","0.0","0.0156825"
"2010-07-01 05:30:00+00:00","0.25","0.0","0.01634055"
"2010-07-01 06:00:00+00:00","0.25","0.0","0.01559025"
"2010-07-01 06:30:00+00:00","0.238","0.0","0.01717695"
"2010-07-01 07:00:00+00:00","0.275","0.0","0.01896045"
"2010-07-01 07:30:00+00:00","0.288","0.012","0.0168264"
"2010-07-01 08:00:00+00:00","2.563","0.083","0.02135895"
"2010-07-01 08:30:00+00:00","2.825","0.23","0.0238866"
"2010-07-01 09:00:00+00:00","2.225","0.34","0.0214758"
"2010-07-01 09:30:00+00:00","0.8","0.46","0.0210576"
"2010-07-01 10:00:00+00:00","0.2","0.619","0.02192475"
"2010-07-01 10:30:00+00:00","0.25","0.602","0.02094075"
"2010-07-01 11:00:00+00:00","0.263","0.761","0.0186345"
"2010-07-01 11:30:00+00:00","0.238","1.207","0.01739835"
"2010-07-01 12:00:00+00:00","0.25","1.289","0.0156825"
"2010-07-01 12:30:00+00:00","0.2","1.071","0.0024354"
"2010-07-01 13:00:00+00:00","0.238","1.242","0.01620525"
"2010-07-01 13:30:00+00:00","0.363","1.314","0.0142311"
"2010-07-01 14:00:00+00:00","0.288","1.186","0.01518435"
"2010-07-01 14:30:00+00:00","0.35","1.039","0.01567635"
"2010-07-01 15:00:00+00:00","0.5","0.865","0.01568865"
"2010-07-01 15:30:00+00:00","2.675","0.769","0.01570095"
"2010-07-01 16:00:00+00:00","1.4","0.341","0.0156825"
"2010-07-01 16:30:00+00:00","0.3","0.102","0.01543035"
"2010-07-01 17:00:00+00:00","0.288","0.011","0.01416345"
"2010-07-01 17:30:00+00:00","0.226","0.0","0.0168018"
"2010-07-01 18:00:00+00:00","0.313","0.0","0.0324351"
"2010-07-01 18:30:00+00:00","2.813","0.0","0.03550395"
"2010-07-01 19:00:00+00:00","2.038","0.0","0.02508585"
"2010-07-01 19:30:00+00:00","1.1","0.0","0.02169105"
"2010-07-01 20:00:00+00:00","1.388","0.0","0.0212175"
"2010-07-01 20:30:00+00:00","1.963","0.0","0.018819"
"2010-07-01 21:00:00+00:00","2.213","0.0","0.01693095"
"2010-07-01 21:30:00+00:00","2.125","0.0","0.0169986"
