"Timestamp_UTC","Energy_Consumption","Energy_Generation","SMP"
"2010-07-01 00:30:00+00:00","0.049","0.006","0.0180564"
"2010-07-01 01:00:00+00:00","0.045","0.0","0.0179949"
"2010-07-01 01:30:00+00:00","0.017","0.0","0.0200613"
"2010-07-01 02:00:00+00:00","0.065","0.0","0.01961235"
"2010-07-01 02:30:00+00:00","0.019","0.0","0.0177612"
"2010-07-01 03:00:00+00:00","0.036","0.0","0.01658655"
"2010-07-01 03:30:00+00:00","0.062","0.0","0.01390515"
"2010-07-01 04:00:00+00:00","0.018","0.0","0.01396665"
"2010-07-01 04:30:00+00:00","0.065","0.0","0.01549185"
"2010-07-01 05:00:00+00:00","0.018","0.0","0.0156825"
"2010-07-01 05:30:00+00:00","0.042","0.0","0.01634055"
"2010-07-01 06:00:00+00:00","0.047","0.0","0.01559025"
"2010-07-01 06:30:00+00:00","0.064","0.0","0.01717695"
"2010-07-01 07:00:00+00:00","0.144","0.0","0.01896045"
"2010-07-01 07:30:00+00:00","0.018","0.0","0.0168264"
"2010-07-01 08:00:00+00:00","0.047","0.006","0.02135895"
"2010-07-01 08:30:00+00:00","0.038","0.019","0.0238866"
"2010-07-01 09:00:00+00:00","0.025","0.05","0.0214758"
"2010-07-01 09:30:00+00:00","0.08","0.138","0.0210576"
"2010-07-01 10:00:00+00:00","0.034","0.238","0.02192475"
"2010-07-01 10:30:00+00:00","0.07","0.306","0.02094075"
"2010-07-01 11:00:00+00:00","0.599","0.375","0.0186345"
"2010-07-01 11:30:00+00:00","1.211","0.419","0.01739835"
"2010-07-01 12:00:00+00:00","0.834","0.45","0.0156825"
"2010-07-01 12:30:00+00:00","0.142","0.463","0.0024354"
"2010-07-01 13:00:00+00:00","0.535","0.488","0.01620525"
"2010-07-01 13:30:00+00:00","0.091","0.494","0.0142311"
"2010-07-01 14:00:00+00:00","0.543","0.475","0.01518435"
"2010-07-01 14:30:00+00:00","0.03","0.456","0.01567635"
"2010-07-01 15:00:00+00:00","0.034","0.419","0.01568865"
"2010-07-01 15:30:00+00:00","0.053","0.2","0.01570095"
"2010-07-01 16:00:00+00:00","0.019","0.106","0.0156825"
