cluster,user_id,dist_to_centroid,note
0,user_138,0.5879246241331918,
1,user_127,0.5889556416561331,
2,user_65,0.4846533955364082,
3,user_148,0.0,singleton cluster
4,user_223,0.0,singleton cluster
5,user_179,0.6481297436366978,
6,user_261,0.670904757241251,
7,user_142,0.5857706248328075,
8,user_128,0.5700847577257753,
9,user_168,0.46878466875927804,
10,user_249,0.509681225594024,
11,user_81,0.6492283618741729,
12,user_104,0.801819034507163,
13,user_172,0.4838759540077135,
14,user_29,0.5188227136821417,
15,user_27,0.47276105112423294,
16,user_156,0.9573366588173059,tied with user_62 (same distance)
17,user_180,0.7260471925356929,
18,user_21,0.45898724211547476,
19,user_290,0.8100778529252174,
20,user_66,0.45685811751239863,
21,user_240,0.5680114787774997,
22,user_113,0.4781237387975305,
23,user_67,0.5582540454250386,
24,user_5,0.3744644085488161,
25,user_158,0.0,singleton cluster
26,user_1,0.6397721802109015,tied with user_26 (same distance)
27,user_204,0.474811393633676,
28,user_247,0.8195106176824889,
29,user_137,0.6220824300508633,
