user_id,cluster,dist_to_centroid,rank_in_cluster
user_246,0,0.8360411814900046,1
user_285,0,0.9887235780711533,2
user_136,0,1.0507195345128557,3
user_206,0,1.0531585790694535,4
user_289,0,1.152029579389707,5
user_281,0,1.1585191664948622,6
user_124,0,1.2738681262319766,7
user_175,0,1.6999763314776053,8
user_234,1,0.6029567494589504,1
user_291,1,0.7488710313018054,2
user_267,1,0.7869948774054984,3
user_199,1,0.8358802846745215,4
user_247,1,0.9171848398154573,5
user_61,1,0.9216026836116882,6
user_253,1,0.9642356662871258,7
user_261,1,1.0764531330089093,8
user_254,1,1.1113357926467313,9
user_192,1,1.1485409590227802,10
user_240,1,1.1489043109863444,11
user_148,1,1.2270158957857005,12
user_263,1,1.2786147833350996,13
user_145,1,1.583554772080856,14
user_277,2,0.6017404979579594,1
user_137,2,0.754636330583184,2
user_37,2,0.8600730757006769,3
user_84,2,0.8807447731436073,4
user_241,2,0.949289386311948,5
user_239,2,1.0311787580933744,6
user_161,2,1.1392979967404702,7
user_102,2,1.1427111516137007,8
user_185,2,1.3020356557232602,9
user_141,2,1.5516414830458056,10
user_216,3,0.5034469103591493,1
user_5,3,0.5337461081951071,2
user_259,3,0.5434792415268163,3
user_173,3,0.5446257870408907,4
user_144,3,0.5568101059011726,5
user_2,3,0.5837185527295813,6
user_274,3,0.5905575875016287,7
user_193,3,0.5968965328331384,8
user_73,3,0.6243723485753797,9
user_89,3,0.6499734856409144,10
user_271,3,0.6541104257961006,11
user_24,3,0.6594486107562534,12
user_27,3,0.6627238423446732,13
user_298,3,0.6725344861108143,14
user_111,3,0.6854255321502561,15
user_201,3,0.691190285107512,16
user_147,3,0.7036927910836591,17
user_153,3,0.7086763456314273,18
user_65,3,0.7326843335638692,19
user_217,3,0.7331186647121579,20
user_83,3,0.7493425845692545,21
user_295,3,0.8163938902367146,22
user_60,3,0.8277584869466046,23
user_182,3,0.8476447409262547,24
user_129,3,0.8728926661139983,25
user_151,3,0.8730437788082401,26
user_282,3,0.8922794058106142,27
user_256,3,0.9337783398884766,28
user_113,3,0.9402012012771161,29
user_100,3,0.9548318214400396,30
user_284,3,0.9856957871013076,31
user_51,3,1.0140546891243576,32
user_33,3,1.0192420890298513,33
user_20,3,1.108846475106761,34
user_79,3,1.2108284033898757,35
user_293,3,1.2395659887231196,36
user_205,3,1.246886289008008,37
user_112,3,1.68042289380704,38
user_58,3,1.7623952553296323,39
user_230,4,0.5428229312946873,1
user_6,4,0.5822773481237621,2
user_222,4,0.6135779480483169,3
user_195,4,0.6159810574387626,4
user_286,4,0.6610302427204116,5
user_172,4,0.6640054829190747,6
user_45,4,0.6675098358470418,7
user_243,4,0.6692086809090211,8
user_31,4,0.6700106368850303,9
user_7,4,0.6912550896765577,10
user_186,4,0.712522887424941,11
user_238,4,0.7470820047455093,12
user_168,4,0.7700830890459438,13
user_15,4,0.793098370457186,14
user_77,4,0.8588616893104437,15
user_34,4,0.8599100584391717,16
user_154,4,0.8601971125836123,17
user_187,4,0.8608497978833355,18
user_114,4,0.8751384814016475,19
user_202,4,0.8856154045759916,20
user_46,4,0.8993248998661088,21
user_54,4,0.9038223720947293,22
user_280,4,0.9241041863085518,23
user_49,4,0.9425418363773675,24
user_17,4,0.9469569017486877,25
user_297,4,0.9821548704990463,26
user_72,4,1.0267478742994096,27
user_220,4,1.0354819927348047,28
user_150,4,1.0677399952183462,29
user_166,4,1.0972835493741926,30
user_191,4,1.100458979200804,31
user_134,4,1.1207978045115923,32
user_74,4,1.1532934836225819,33
user_48,4,1.2103521967551896,34
user_164,4,1.3646583258089728,35
user_290,4,1.3707980665454829,36
user_149,5,0.8201079637046267,1
user_228,5,0.8295984263337915,2
user_91,5,1.1039148414210904,3
user_62,5,1.2382145796025934,4
user_250,5,1.361905004528982,5
user_123,6,0.8323681675306095,1
user_178,6,0.8540625916545151,2
user_276,6,0.9631565616677015,3
user_57,6,1.0564340347388383,4
user_224,6,1.2006816616052602,5
user_223,6,1.2625317590498735,6
user_22,6,1.563886220978732,7
user_98,7,0.6299006370051127,1
user_78,7,0.6777343176125527,2
